driver_id,first_name,last_name,full_name,email,phone,city,state,market,cdl_type,vehicle_type,experience,status,rating,total_deliveries,total_routes_completed,on_time_percentage,completion_rate,background_check,drug_screen,mvr_status,fully_cleared,hourly_rate_usd,total_deployments,date_joined,last_active,available_from,fedex_isp_experience,willing_to_relocate,notes
RR-00011,Timothy,Carter,Timothy Carter,timothy.carter@icloud.com,(668) 816-5366,Philadelphia,PA,"Philadelphia, PA",CDL-A,Box Truck,5-7 Years,MATCHING,4.4,1858,43,92.3,93.9,PASSED,PASSED,MINOR_VIOLATION,YES,28.06,7,2025-10-07,2026-03-20,2026-04-12,YES,NO,
RR-00012,Samantha,Morgan,Samantha Morgan,samantha779@icloud.com,(430) 335-6060,Pittsburgh,PA,"Pittsburgh, PA",CDL-B,Sprinter Van,10+ Years,CLEARED,4.7,1159,556,90.1,93.1,PASSED,PASSED,MINOR_VIOLATION,YES,18.08,3,2025-07-13,2026-03-16,2026-04-11,YES,YES,
RR-00013,Maria,Phillips,Maria Phillips,phillips.m@icloud.com,(753) 926-3186,Boston,MA,"Boston, MA",CDL-B,Cargo Van,5-7 Years,CLEARED,3.0,2294,365,89.7,97.5,PASSED,PASSED,MINOR_VIOLATION,YES,23.57,11,2025-11-22,2026-03-15,2026-04-09,YES,YES,
RR-00014,Amber,Phillips,Amber Phillips,amber345@gmail.com,(228) 502-4207,Chicago,IL,"Chicago, IL",CDL-A,Cargo Van,2-3 Years,CLEARED,3.7,388,261,95.4,98.0,PASSED,PASSED,CLEAN,YES,33.68,6,2025-09-19,2026-03-09,2026-04-19,YES,YES,
RR-00015,Carlos,Phillips,Carlos Phillips,phillips.c@outlook.com,(423) 655-5705,Miami,FL,"Miami, FL",CDL-A,Cargo Van,7-10 Years,STANDBY,3.2,1100,472,94.4,97.9,PASSED,PASSED,CLEAN,YES,34.79,13,2025-12-01,2026-03-16,2026-04-07,YES,NO,
RR-00016,Michael,Gray,Michael Gray,gray.m@yahoo.com,(351) 539-9499,Miami,FL,"Miami, FL",CDL-B,Step Van,2-3 Years,CLEARED,3.9,1232,282,89.4,94.8,PASSED,PASSED,CLEAN,YES,27.74,2,2025-07-09,2026-03-12,2026-04-18,NO,YES,
RR-00017,Diana,White,Diana White,diana_white@icloud.com,(421) 994-5598,New York,NY,"New York, NY",CDL-B,Box Truck,5-7 Years,STANDBY,4.5,1385,230,92.2,92.3,PENDING,PASSED,CLEAN,NO,26.81,13,2025-06-08,2026-03-17,2026-04-16,YES,NO,
RR-00018,Clarence,Clark,Clarence Clark,clarence.clark@icloud.com,(403) 674-4762,Philadelphia,PA,"Philadelphia, PA",CDL-A,Sprinter Van,1-2 Years,STANDBY,5.0,635,204,95.4,92.6,PASSED,PASSED,CLEAN,YES,22.02,15,2026-03-04,2026-04-05,2026-04-15,YES,NO,
RR-00019,Sarah,Bell,Sarah Bell,sarah.bell@yahoo.com,(794) 633-4618,Kansas City,MO,"Kansas City, MO",CDL-B,Cargo Van,1-2 Years,CLEARED,4.5,1337,256,89.3,97.3,PASSED,PASSED,MINOR_VIOLATION,YES,27.64,10,2026-02-09,2026-03-18,2026-04-19,NO,NO,
RR-00020,Miguel,Peterson,Miguel Peterson,peterson.m@outlook.com,(620) 836-8832,New Orleans,LA,"New Orleans, LA",CDL-A,Box Truck,2-3 Years,MATCHING,4.8,2076,73,92.4,94.8,PASSED,PASSED,CLEAN,YES,24.55,9,2025-06-01,2026-03-16,2026-04-08,YES,NO,
RR-00021,Stacey,Torres,Stacey Torres,torres.s@outlook.com,(254) 747-7515,Detroit,MI,"Detroit, MI",CDL-B,Step Van,2-3 Years,CLEARED,3.9,1495,65,97.5,97.8,PASSED,PASSED,CLEAN,YES,17.42,12,2026-01-22,2026-03-12,2026-04-18,YES,YES,
RR-00022,Yolanda,Brown,Yolanda Brown,brown.y@outlook.com,(201) 706-2477,Miami,FL,"Miami, FL",CDL-B,Cargo Van,2-3 Years,IN_REVIEW,4.2,70,3,99.8,95.5,PASSED,PENDING,MINOR_VIOLATION,NO,20.68,12,2025-08-11,2026-03-11,2026-04-17,YES,NO,
RR-00023,Sofia,Brooks,Sofia Brooks,brooks.s@icloud.com,(744) 291-2222,Kansas City,MO,"Kansas City, MO",CDL-B,Step Van,10+ Years,MATCHING,3.4,755,139,94.9,92.3,PASSED,PASSED,MINOR_VIOLATION,YES,27.59,6,2025-11-15,2026-03-12,2026-04-08,NO,YES,
RR-00024,Tiffany,Cook,Tiffany Cook,tiffany.cook@outlook.com,(641) 217-8202,Kansas City,MO,"Kansas City, MO",CDL-A,Box Truck,5-7 Years,IN_REVIEW,3.8,2139,514,94.6,98.3,PASSED,PASSED,CLEAN,YES,31.69,8,2025-12-18,2026-03-15,2026-04-07,YES,NO,
RR-00025,Robert,Brown,Robert Brown,robert.brown@yahoo.com,(453) 748-3087,Indianapolis,IN,"Indianapolis, IN",CDL-B,Step Van,1-2 Years,CLEARED,4.6,1666,195,99.7,92.6,PASSED,PENDING,CLEAN,NO,20.04,13,2025-05-06,2026-03-29,2026-04-10,YES,NO,
RR-00026,Walter,Morris,Walter Morris,morris.w@outlook.com,(297) 423-3165,Washington,DC,"Washington, DC",CDL-B,Box Truck,5-7 Years,MATCHING,4.3,191,252,96.7,99.6,PASSED,PASSED,CLEAN,YES,23.3,4,2025-07-06,2026-03-12,2026-04-06,YES,YES,
RR-00027,Brian,Ramirez,Brian Ramirez,brian_ramirez@yahoo.com,(798) 722-6209,Dallas,TX,"Dallas, TX",CDL-B,Box Truck,3-5 Years,MATCHING,5.0,1733,216,99.2,94.5,PENDING,PENDING,CLEAN,NO,20.59,8,2025-05-28,2026-03-26,2026-04-05,NO,YES,
RR-00028,Antonio,Barnes,Antonio Barnes,antonio.barnes@icloud.com,(894) 884-5966,New Orleans,LA,"New Orleans, LA",CDL-A,Cargo Van,10+ Years,CLEARED,3.0,1323,587,95.0,98.4,PASSED,PASSED,CLEAN,YES,29.96,8,2025-11-18,2026-03-13,2026-04-19,YES,NO,
RR-00029,Dominic,Sanders,Dominic Sanders,sanders.d@yahoo.com,(376) 419-1944,Nashville,TN,"Nashville, TN",CDL-B,Box Truck,5-7 Years,MATCHING,5.0,1448,445,92.9,94.5,PENDING,PASSED,CLEAN,NO,26.45,0,2026-02-02,2026-03-17,2026-04-07,YES,NO,
RR-00030,Stephanie,Bailey,Stephanie Bailey,stephanie.bailey@icloud.com,(424) 649-9916,Cleveland,OH,"Cleveland, OH",CDL-A,Cargo Van,10+ Years,MATCHING,5.0,993,71,89.2,96.1,PASSED,PASSED,CLEAN,YES,32.28,8,2026-02-01,2026-03-15,2026-04-10,YES,NO,
RR-00031,Lauren,Roberts,Lauren Roberts,lauren_roberts@hotmail.com,(508) 231-8187,Miami,FL,"Miami, FL",CDL-B,Step Van,10+ Years,STANDBY,4.6,1197,426,90.5,95.2,PASSED,PASSED,CLEAN,YES,22.5,9,2025-09-19,2026-04-01,2026-04-06,YES,NO,
RR-00032,Brandon,Hernandez,Brandon Hernandez,brandon.hernandez@gmail.com,(428) 266-8664,Seattle,WA,"Seattle, WA",CDL-B,Sprinter Van,2-3 Years,STANDBY,3.9,1120,324,93.1,94.8,PASSED,PASSED,CLEAN,YES,22.24,12,2025-04-17,2026-03-30,2026-04-07,NO,YES,
RR-00033,Jessica,Johnson,Jessica Johnson,jessica.johnson@outlook.com,(369) 369-6613,Jacksonville,FL,"Jacksonville, FL",CDL-B,Step Van,5-7 Years,CLEARED,3.8,45,746,99.1,97.3,PASSED,PASSED,CLEAN,YES,25.68,6,2025-12-12,2026-03-15,2026-04-10,YES,NO,
RR-00034,Brittany,Alexander,Brittany Alexander,brittany317@yahoo.com,(679) 304-9954,Cleveland,OH,"Cleveland, OH",CDL-B,Step Van,5-7 Years,STANDBY,3.6,2386,712,90.2,97.8,PASSED,PASSED,CLEAN,YES,17.74,6,2025-12-11,2026-03-24,2026-04-15,YES,NO,
RR-00035,Raymond,Bell,Raymond Bell,raymond.bell@gmail.com,(738) 216-1894,Seattle,WA,"Seattle, WA",CDL-A,Cargo Van,5-7 Years,MATCHING,4.8,1505,102,92.0,98.3,PASSED,PENDING,CLEAN,NO,31.35,2,2025-10-11,2026-03-17,2026-04-11,NO,NO,
RR-00036,Marvin,Perry,Marvin Perry,perry.m@outlook.com,(434) 900-4987,Pittsburgh,PA,"Pittsburgh, PA",CDL-A,Box Truck,10+ Years,CLEARED,3.4,1810,262,89.6,92.8,PASSED,PASSED,CLEAN,YES,30.13,13,2025-12-30,2026-03-17,2026-04-11,YES,NO,
RR-00037,Derek,Price,Derek Price,derek.price@gmail.com,(570) 932-3193,Phoenix,AZ,"Phoenix, AZ",CDL-B,Sprinter Van,1-2 Years,MATCHING,4.7,1394,795,99.2,97.9,PASSED,PASSED,MINOR_VIOLATION,YES,17.98,12,2025-08-16,2026-03-11,2026-04-15,YES,NO,
RR-00038,Jacob,Richardson,Jacob Richardson,jacob_richardson@outlook.com,(220) 726-7268,Nashville,TN,"Nashville, TN",CDL-B,Box Truck,5-7 Years,CLEARED,3.5,1891,366,92.1,93.4,PASSED,PENDING,CLEAN,NO,17.87,9,2025-07-16,2026-03-22,2026-04-19,YES,YES,
RR-00039,Reginald,James,Reginald James,reginald_james@icloud.com,(448) 755-2717,San Francisco,CA,"San Francisco, CA",CDL-A,Box Truck,5-7 Years,MATCHING,4.4,2359,9,96.8,96.0,PASSED,PASSED,CLEAN,YES,22.93,7,2026-02-12,2026-03-20,2026-04-19,YES,YES,
RR-00040,Tanya,Ward,Tanya Ward,tanya.ward@gmail.com,(659) 649-5280,San Francisco,CA,"San Francisco, CA",CDL-A,Cargo Van,1-2 Years,STANDBY,4.6,1461,628,88.2,97.5,PASSED,PASSED,CLEAN,YES,29.86,13,2026-03-05,2026-03-11,2026-04-15,NO,NO,
RR-00041,Marvin,Edwards,Marvin Edwards,marvin.edwards@outlook.com,(925) 304-8637,Dallas,TX,"Dallas, TX",CDL-A,Box Truck,3-5 Years,STANDBY,4.6,663,22,98.8,97.5,PASSED,PASSED,CLEAN,YES,27.43,5,2026-02-26,2026-03-29,2026-04-13,NO,NO,
RR-00042,Juan,Edwards,Juan Edwards,juan73@outlook.com,(390) 342-3195,Atlanta,GA,"Atlanta, GA",CDL-B,Step Van,3-5 Years,CLEARED,5.0,195,378,98.3,97.5,PASSED,PENDING,CLEAN,NO,21.53,12,2025-09-11,2026-03-21,2026-04-17,YES,NO,
RR-00043,Malik,Mitchell,Malik Mitchell,malik_mitchell@icloud.com,(901) 816-3970,Boston,MA,"Boston, MA",CDL-B,Step Van,1-2 Years,MATCHING,5.0,2379,131,97.4,97.6,PENDING,PENDING,CLEAN,NO,26.62,6,2025-06-06,2026-03-11,2026-04-14,YES,YES,
RR-00044,Carlos,Gonzales,Carlos Gonzales,carlos221@outlook.com,(466) 577-4492,Pittsburgh,PA,"Pittsburgh, PA",CDL-A,Box Truck,5-7 Years,STANDBY,4.1,63,45,99.0,98.3,PASSED,PASSED,CLEAN,YES,23.22,0,2025-12-13,2026-03-07,2026-04-11,NO,NO,
RR-00045,Shanice,Long,Shanice Long,shanice_long@outlook.com,(640) 340-4111,Pittsburgh,PA,"Pittsburgh, PA",CDL-A,Step Van,1-2 Years,STANDBY,4.4,1077,157,95.5,94.5,PENDING,PENDING,CLEAN,NO,33.0,13,2025-10-02,2026-03-11,2026-04-16,NO,NO,
RR-00046,Carlos,Evans,Carlos Evans,carlos438@yahoo.com,(284) 450-1922,Las Vegas,NV,"Las Vegas, NV",CDL-A,Box Truck,3-5 Years,CLEARED,3.9,2351,356,93.0,99.2,PASSED,PASSED,CLEAN,YES,27.57,13,2025-09-17,2026-03-26,2026-04-12,YES,YES,
RR-00047,Sandra,Turner,Sandra Turner,sandra531@yahoo.com,(897) 692-9190,Dallas,TX,"Dallas, TX",CDL-B,Step Van,3-5 Years,CLEARED,4.4,1691,88,88.1,99.2,PASSED,PENDING,CLEAN,NO,18.18,9,2025-10-30,2026-03-25,2026-04-15,YES,NO,
RR-00048,Luis,Lee,Luis Lee,luis_lee@icloud.com,(329) 944-2559,Kansas City,MO,"Kansas City, MO",CDL-B,Cargo Van,3-5 Years,IN_REVIEW,4.3,204,614,95.1,96.8,PASSED,PASSED,CLEAN,YES,22.56,2,2025-12-26,2026-03-12,2026-04-11,YES,NO,
RR-00049,David,Russell,David Russell,russell.d@outlook.com,(712) 366-7029,Charlotte,NC,"Charlotte, NC",CDL-B,Box Truck,5-7 Years,CLEARED,4.9,2296,457,89.8,98.1,PASSED,PASSED,CLEAN,YES,21.41,3,2025-12-03,2026-03-13,2026-04-10,NO,NO,
RR-00050,Joshua,Washington,Joshua Washington,joshua.washington@outlook.com,(949) 591-8445,Cleveland,OH,"Cleveland, OH",CDL-B,Step Van,3-5 Years,CLEARED,4.5,1823,599,94.7,98.5,PENDING,PASSED,CLEAN,NO,20.24,7,2025-04-16,2026-03-23,2026-04-05,YES,YES,
RR-00051,Juan,Lopez,Juan Lopez,juan_lopez@gmail.com,(764) 756-3776,Atlanta,GA,"Atlanta, GA",CDL-A,Step Van,5-7 Years,CLEARED,4.6,1566,591,98.5,95.7,PASSED,PASSED,CLEAN,YES,25.88,7,2026-01-15,2026-03-10,2026-04-12,YES,NO,
RR-00052,Shanice,James,Shanice James,shanice.james@outlook.com,(851) 300-8759,Kansas City,MO,"Kansas City, MO",CDL-B,Step Van,2-3 Years,STANDBY,4.3,1232,650,96.4,99.3,PASSED,PASSED,CLEAN,YES,17.3,4,2026-01-07,2026-03-28,2026-04-12,YES,YES,
RR-00053,Keisha,Gonzales,Keisha Gonzales,keisha_gonzales@hotmail.com,(679) 588-6688,Cincinnati,OH,"Cincinnati, OH",CDL-A,Step Van,5-7 Years,MATCHING,4.4,1896,690,99.4,95.5,PASSED,PASSED,MINOR_VIOLATION,YES,22.44,15,2025-08-30,2026-03-11,2026-04-11,YES,NO,
RR-00054,Dominic,Lopez,Dominic Lopez,dominic591@yahoo.com,(359) 446-8156,Detroit,MI,"Detroit, MI",CDL-A,Step Van,3-5 Years,CLEARED,4.4,1304,152,95.6,93.7,PASSED,PASSED,CLEAN,YES,32.97,10,2025-05-24,2026-03-07,2026-04-10,NO,NO,
RR-00055,Nathaniel,Hughes,Nathaniel Hughes,nathaniel_hughes@yahoo.com,(311) 680-9481,Charlotte,NC,"Charlotte, NC",CDL-B,Cargo Van,5-7 Years,CLEARED,3.0,2185,338,93.0,97.2,PASSED,PASSED,CLEAN,YES,25.4,15,2025-04-24,2026-03-07,2026-04-07,YES,YES,
RR-00056,Zachary,Campbell,Zachary Campbell,zachary_campbell@icloud.com,(822) 475-5781,Denver,CO,"Denver, CO",CDL-B,Sprinter Van,10+ Years,CLEARED,3.3,2076,112,88.6,92.0,PASSED,PASSED,MINOR_VIOLATION,YES,20.56,9,2025-11-22,2026-03-19,2026-04-15,YES,NO,
RR-00057,Megan,Martinez,Megan Martinez,megan121@icloud.com,(769) 749-4718,Jacksonville,FL,"Jacksonville, FL",CDL-B,Box Truck,5-7 Years,CLEARED,4.2,183,312,89.9,93.8,PASSED,PASSED,CLEAN,YES,17.54,14,2025-12-23,2026-03-29,2026-04-13,YES,YES,
RR-00058,Megan,Adams,Megan Adams,megan.adams@icloud.com,(879) 251-9481,Las Vegas,NV,"Las Vegas, NV",CDL-B,Sprinter Van,5-7 Years,STANDBY,3.6,1483,206,90.5,93.9,PASSED,PASSED,CLEAN,YES,18.58,1,2025-10-13,2026-03-11,2026-04-09,YES,NO,
RR-00059,Darius,Taylor,Darius Taylor,darius858@gmail.com,(641) 304-6195,Memphis,TN,"Memphis, TN",CDL-A,Box Truck,5-7 Years,CLEARED,4.3,631,222,97.1,95.7,PASSED,PENDING,CLEAN,NO,25.07,8,2025-09-09,2026-03-28,2026-04-07,YES,NO,
RR-00060,Jessica,Clark,Jessica Clark,jessica58@gmail.com,(930) 856-5810,New Orleans,LA,"New Orleans, LA",CDL-A,Box Truck,10+ Years,IN_REVIEW,5.0,2191,420,99.1,96.3,PASSED,PASSED,CLEAN,YES,32.12,3,2025-10-24,2026-04-03,2026-04-14,YES,NO,
RR-00061,Joshua,Ward,Joshua Ward,ward.j@outlook.com,(232) 899-4440,Jacksonville,FL,"Jacksonville, FL",CDL-A,Box Truck,3-5 Years,CLEARED,4.3,1898,372,92.9,99.5,PASSED,PASSED,CLEAN,YES,30.75,11,2025-11-05,2026-03-08,2026-04-07,YES,NO,
RR-00062,Eric,Long,Eric Long,eric_long@hotmail.com,(898) 663-2957,Detroit,MI,"Detroit, MI",CDL-B,Step Van,3-5 Years,CLEARED,4.4,1091,768,96.2,97.6,PASSED,PASSED,MINOR_VIOLATION,YES,24.65,2,2025-07-09,2026-03-30,2026-04-08,YES,YES,
RR-00063,Travis,Edwards,Travis Edwards,travis_edwards@hotmail.com,(974) 556-7148,Chicago,IL,"Chicago, IL",CDL-A,Box Truck,5-7 Years,CLEARED,4.6,933,357,98.1,94.5,PASSED,PASSED,MINOR_VIOLATION,YES,30.6,9,2025-12-20,2026-04-03,2026-04-12,YES,NO,
RR-00064,Cheryl,Brown,Cheryl Brown,cheryl.brown@outlook.com,(827) 236-3429,Phoenix,AZ,"Phoenix, AZ",CDL-A,Box Truck,5-7 Years,CLEARED,5.0,375,781,90.9,96.1,PASSED,PASSED,CLEAN,YES,30.64,2,2025-10-19,2026-03-22,2026-04-14,YES,YES,
RR-00065,Renee,Jackson,Renee Jackson,renee825@yahoo.com,(765) 720-1114,Atlanta,GA,"Atlanta, GA",CDL-A,Box Truck,7-10 Years,IN_REVIEW,3.8,2207,404,90.8,93.3,PENDING,PASSED,CLEAN,NO,22.32,6,2025-04-25,2026-03-13,2026-04-17,YES,YES,
RR-00066,Courtney,Thompson,Courtney Thompson,courtney_thompson@gmail.com,(735) 930-2176,New Orleans,LA,"New Orleans, LA",CDL-B,Step Van,2-3 Years,CLEARED,4.7,970,637,97.2,95.9,PASSED,PASSED,MINOR_VIOLATION,YES,25.17,10,2025-07-01,2026-03-23,2026-04-12,NO,YES,
RR-00067,Tyler,Ross,Tyler Ross,ross.t@gmail.com,(738) 400-7827,Minneapolis,MN,"Minneapolis, MN",CDL-B,Sprinter Van,2-3 Years,IN_REVIEW,4.9,1381,651,93.7,98.4,PENDING,PASSED,MINOR_VIOLATION,NO,26.4,6,2025-07-18,2026-03-11,2026-04-15,YES,YES,
RR-00068,Ricardo,Wood,Ricardo Wood,wood.r@hotmail.com,(217) 871-4725,Miami,FL,"Miami, FL",CDL-B,Step Van,10+ Years,MATCHING,3.8,2019,65,88.0,99.1,PASSED,PASSED,MINOR_VIOLATION,YES,22.78,4,2025-06-26,2026-03-21,2026-04-05,NO,NO,
RR-00069,Derek,Miller,Derek Miller,derek.miller@icloud.com,(897) 673-7225,Detroit,MI,"Detroit, MI",CDL-B,Cargo Van,2-3 Years,MATCHING,4.6,1547,345,93.2,98.5,PASSED,PASSED,CLEAN,YES,24.34,14,2026-02-20,2026-04-02,2026-04-11,YES,NO,
RR-00070,Destiny,Martinez,Destiny Martinez,destiny294@yahoo.com,(312) 764-2758,Phoenix,AZ,"Phoenix, AZ",CDL-A,Cargo Van,2-3 Years,MATCHING,4.1,215,628,88.9,97.8,PASSED,PASSED,CLEAN,YES,29.48,11,2025-10-27,2026-03-17,2026-04-15,YES,NO,
RR-00071,Floyd,Richardson,Floyd Richardson,floyd_richardson@gmail.com,(357) 863-8496,Denver,CO,"Denver, CO",CDL-A,Step Van,7-10 Years,IN_REVIEW,3.7,527,278,99.6,95.4,PASSED,PENDING,CLEAN,NO,28.95,4,2025-08-16,2026-03-24,2026-04-19,YES,NO,
RR-00072,Hannah,Bryant,Hannah Bryant,hannah.bryant@outlook.com,(712) 446-4992,Houston,TX,"Houston, TX",CDL-A,Cargo Van,7-10 Years,STANDBY,4.7,2316,471,93.5,94.4,PASSED,PASSED,CLEAN,YES,23.48,12,2025-04-29,2026-03-17,2026-04-18,YES,NO,
RR-00073,Raymond,Campbell,Raymond Campbell,campbell.r@hotmail.com,(974) 513-4901,Cincinnati,OH,"Cincinnati, OH",CDL-B,Cargo Van,1-2 Years,IN_REVIEW,5.0,401,737,94.9,96.0,PASSED,PASSED,CLEAN,YES,23.53,5,2025-04-16,2026-03-26,2026-04-09,YES,NO,
RR-00074,Darius,Edwards,Darius Edwards,darius538@yahoo.com,(871) 962-9123,Jacksonville,FL,"Jacksonville, FL",CDL-B,Box Truck,1-2 Years,CLEARED,5.0,794,692,91.0,99.3,PASSED,PASSED,CLEAN,YES,24.27,14,2026-02-13,2026-03-24,2026-04-08,YES,YES,
RR-00075,Ryan,Allen,Ryan Allen,ryan.allen@hotmail.com,(430) 288-9396,Pittsburgh,PA,"Pittsburgh, PA",CDL-B,Sprinter Van,10+ Years,CLEARED,4.6,1372,421,91.8,94.5,PASSED,PASSED,CLEAN,YES,18.26,15,2025-04-24,2026-03-17,2026-04-13,NO,NO,
RR-00076,Jose,Ross,Jose Ross,ross.j@yahoo.com,(205) 668-7803,Las Vegas,NV,"Las Vegas, NV",CDL-A,Step Van,7-10 Years,CLEARED,4.5,1033,434,94.1,98.0,PASSED,PASSED,CLEAN,YES,26.51,12,2025-06-10,2026-04-02,2026-04-05,NO,YES,
RR-00077,Eric,Russell,Eric Russell,eric_russell@yahoo.com,(211) 266-2228,San Antonio,TX,"San Antonio, TX",CDL-B,Step Van,7-10 Years,MATCHING,4.3,2369,227,94.8,93.1,PASSED,PASSED,CLEAN,YES,21.8,15,2025-05-20,2026-03-20,2026-04-16,YES,NO,
RR-00078,Sandra,Torres,Sandra Torres,torres.s@outlook.com,(378) 234-1469,Phoenix,AZ,"Phoenix, AZ",CDL-B,Cargo Van,5-7 Years,STANDBY,4.2,2194,621,97.2,95.3,PASSED,PASSED,CLEAN,YES,25.07,12,2026-01-25,2026-03-28,2026-04-16,YES,NO,
RR-00079,Tiffany,Jones,Tiffany Jones,tiffany.jones@hotmail.com,(538) 479-2106,Chicago,IL,"Chicago, IL",CDL-A,Sprinter Van,2-3 Years,MATCHING,4.8,1625,422,92.7,94.0,PENDING,PASSED,CLEAN,NO,31.37,9,2026-02-24,2026-03-25,2026-04-19,YES,YES,
RR-00080,Curtis,Anderson,Curtis Anderson,curtis.anderson@icloud.com,(680) 744-6351,Charlotte,NC,"Charlotte, NC",CDL-B,Step Van,2-3 Years,IN_REVIEW,3.9,2308,483,90.3,98.4,PENDING,PASSED,MINOR_VIOLATION,NO,22.99,8,2026-01-31,2026-03-19,2026-04-15,NO,NO,
RR-00081,Jose,Kelly,Jose Kelly,jose_kelly@hotmail.com,(338) 693-8191,Detroit,MI,"Detroit, MI",CDL-B,Box Truck,2-3 Years,IN_REVIEW,4.4,34,550,99.4,97.9,PENDING,PENDING,CLEAN,NO,25.16,12,2025-11-08,2026-03-07,2026-04-09,YES,NO,
RR-00082,Andrew,Wright,Andrew Wright,andrew.wright@outlook.com,(566) 500-4597,Pittsburgh,PA,"Pittsburgh, PA",CDL-A,Cargo Van,3-5 Years,MATCHING,5.0,2298,39,97.2,93.9,PASSED,PASSED,CLEAN,YES,30.54,15,2025-10-20,2026-03-21,2026-04-15,YES,NO,
RR-00083,Jasmine,Hill,Jasmine Hill,jasmine.hill@icloud.com,(461) 901-8974,Memphis,TN,"Memphis, TN",CDL-A,Cargo Van,10+ Years,CLEARED,4.7,2267,586,95.5,99.8,PASSED,PASSED,CLEAN,YES,30.04,11,2026-01-17,2026-04-04,2026-04-09,YES,NO,
RR-00084,Felicia,Clark,Felicia Clark,felicia936@outlook.com,(706) 474-8362,Portland,OR,"Portland, OR",CDL-A,Cargo Van,5-7 Years,STANDBY,3.6,5,545,96.6,94.9,PASSED,PASSED,CLEAN,YES,27.77,1,2025-09-21,2026-04-02,2026-04-17,YES,NO,
RR-00085,Carmen,Patterson,Carmen Patterson,carmen.patterson@outlook.com,(427) 535-3215,Seattle,WA,"Seattle, WA",CDL-A,Box Truck,2-3 Years,CLEARED,3.7,590,34,95.9,99.4,PASSED,PASSED,CLEAN,YES,32.97,8,2026-02-19,2026-03-30,2026-04-18,YES,NO,
